Time,Millis,Round,Trial,TargetID,TargetTotal,Radius,Session,LinearUp,AlertTone,Blind
26032018T190952,63657688192001,4,-1,-1,9,0.85,2,False,True,False
26032018T190952,63657688192903,4,0,target0,9,0.85,2,False,True,False
26032018T190953,63657688193701,4,1,target8,9,0.85,2,False,True,False
26032018T190954,63657688194562,4,2,target4,9,0.85,2,False,True,False
26032018T190955,63657688195401,4,3,target6,9,0.85,2,False,True,False
26032018T190957,63657688197166,4,4,target3,9,0.85,2,False,True,False
26032018T190957,63657688197914,4,5,target1,9,0.85,2,False,True,False
26032018T190958,63657688198724,4,6,target5,9,0.85,2,False,True,False
26032018T191002,63657688202441,4,7,target2,9,0.85,2,False,True,False
26032018T191003,63657688203235,4,8,target7,9,0.85,2,False,True,False
26032018T191003,63657688203250,5,-1,-1,9,0.85,2,False,True,False
26032018T191004,63657688204296,5,0,target4,9,0.85,2,False,True,False
26032018T191004,63657688204977,5,1,target5,9,0.85,2,False,True,False
26032018T191005,63657688205745,5,2,target2,9,0.85,2,False,True,False
26032018T191006,63657688206969,5,3,target3,9,0.85,2,False,True,False
26032018T191007,63657688207761,5,4,target6,9,0.85,2,False,True,False
26032018T191008,63657688208496,5,5,target8,9,0.85,2,False,True,False
26032018T191009,63657688209144,5,6,target7,9,0.85,2,False,True,False
26032018T191009,63657688209882,5,7,target0,9,0.85,2,False,True,False
26032018T191010,63657688210498,5,8,target1,9,0.85,2,False,True,False
26032018T191010,63657688210512,1,-1,-1,9,0.85,3,False,True,True
26032018T191011,63657688211178,1,0,target3,9,0.85,3,False,True,True
26032018T191021,63657688221509,1,1,target7,9,0.85,3,False,True,True
26032018T191026,63657688226224,1,2,target8,9,0.85,3,False,True,True
26032018T191035,63657688235015,1,3,target2,9,0.85,3,False,True,True
26032018T191041,63657688241184,1,4,target4,9,0.85,3,False,True,True
26032018T191052,63657688252238,1,5,target1,9,0.85,3,False,True,True
26032018T191112,63657688272357,1,6,target0,9,0.85,3,False,True,True
26032018T191118,63657688278608,1,7,target6,9,0.85,3,False,True,True
26032018T191131,63657688291923,1,8,target5,9,0.85,3,False,True,True
26032018T191131,63657688291938,2,-1,-1,9,0.85,3,False,True,True
26032018T191135,63657688295699,2,0,target2,9,0.85,3,False,True,True
26032018T191142,63657688302309,2,1,target7,9,0.85,3,False,True,True
26032018T191149,63657688309849,2,2,target0,9,0.85,3,False,True,True
26032018T191156,63657688316855,2,3,target4,9,0.85,3,False,True,True
26032018T191206,63657688326588,2,4,target3,9,0.85,3,False,True,True
26032018T191217,63657688337813,2,5,target1,9,0.85,3,False,True,True
26032018T191224,63657688344917,2,6,target6,9,0.85,3,False,True,True
26032018T191229,63657688349059,2,7,target8,9,0.85,3,False,True,True
26032018T191236,63657688356350,2,8,target5,9,0.85,3,False,True,True
26032018T191236,63657688356365,3,-1,-1,9,0.85,3,False,True,True
26032018T191237,63657688357271,3,0,target6,9,0.85,3,False,True,True
26032018T191246,63657688366352,3,1,target2,9,0.85,3,False,True,True
26032018T191253,63657688373606,3,2,target1,9,0.85,3,False,True,True
26032018T191300,63657688380520,3,3,target8,9,0.85,3,False,True,True
26032018T191309,63657688389269,3,4,target3,9,0.85,3,False,True,True
26032018T191320,63657688400339,3,5,target0,9,0.85,3,False,True,True
26032018T191326,63657688406335,3,6,target5,9,0.85,3,False,True,True
26032018T191333,63657688413044,3,7,target7,9,0.85,3,False,True,True
26032018T191341,63657688421500,3,8,target4,9,0.85,3,False,True,True
26032018T191341,63657688421514,4,-1,-1,9,0.85,3,False,True,True
26032018T191401,63657688441489,4,0,target7,9,0.85,3,False,True,True
26032018T191412,63657688452131,4,1,target3,9,0.85,3,False,True,True
26032018T191412,63657688452725,4,2,target6,9,0.85,3,False,True,True
26032018T191424,63657688464703,4,3,target0,9,0.85,3,False,True,True
26032018T191424,63657688464968,4,4,target1,9,0.85,3,False,True,True
26032018T191438,63657688478267,4,5,target4,9,0.85,3,False,True,True
26032018T191447,63657688487878,4,6,target2,9,0.85,3,False,True,True
26032018T191452,63657688492665,4,7,target5,9,0.85,3,False,True,True
26032018T191501,63657688501011,4,8,target8,9,0.85,3,False,True,True
26032018T191501,63657688501026,5,-1,-1,9,0.85,3,False,True,True
26032018T191501,63657688501289,5,0,target8,9,0.85,3,False,True,True
26032018T191508,63657688508616,5,1,target2,9,0.85,3,False,True,True
26032018T191517,63657688517720,5,2,target1,9,0.85,3,False,True,True
26032018T191527,63657688527381,5,3,target4,9,0.85,3,False,True,True
26032018T191530,63657688530140,5,4,target6,9,0.85,3,False,True,True
26032018T191536,63657688536613,5,5,target3,9,0.85,3,False,True,True
26032018T191542,63657688542453,5,6,target7,9,0.85,3,False,True,True
26032018T191546,63657688546152,5,7,target0,9,0.85,3,False,True,True
26032018T191549,63657688549555,5,8,target5,9,0.85,3,False,True,True
