Time,Millis,Round,Trial,TargetID,TargetTotal,Radius,Session,LinearUp,AlertTone,Blind
13032018T065827,63656521107140,4,-1,-1,9,0.85,2,False,False,True
13032018T065840,63656521120917,4,0,target3,9,0.85,2,False,False,True
13032018T065858,63656521138913,4,1,target6,9,0.85,2,False,False,True
13032018T065916,63656521156441,4,2,target4,9,0.85,2,False,False,True
13032018T065923,63656521163439,4,3,target0,9,0.85,2,False,False,True
13032018T070003,63656521203272,4,4,target5,9,0.85,2,False,False,True
13032018T070017,63656521217883,4,5,target7,9,0.85,2,False,False,True
13032018T070034,63656521234298,4,6,target2,9,0.85,2,False,False,True
13032018T070049,63656521249870,4,7,target1,9,0.85,2,False,False,True
13032018T070105,63656521265309,4,8,target8,9,0.85,2,False,False,True
13032018T070105,63656521265335,5,-1,-1,9,0.85,2,False,False,True
13032018T070112,63656521272473,5,0,target1,9,0.85,2,False,False,True
13032018T070123,63656521283565,5,1,target8,9,0.85,2,False,False,True
13032018T070144,63656521304381,5,2,target5,9,0.85,2,False,False,True
13032018T070157,63656521317777,5,3,target2,9,0.85,2,False,False,True
13032018T070204,63656521324322,5,4,target7,9,0.85,2,False,False,True
13032018T070218,63656521338030,5,5,target4,9,0.85,2,False,False,True
13032018T070244,63656521364765,5,6,target6,9,0.85,2,False,False,True
13032018T070258,63656521378894,5,7,target3,9,0.85,2,False,False,True
13032018T070313,63656521393861,5,8,target0,9,0.85,2,False,False,True
13032018T070313,63656521393884,1,-1,-1,9,0.85,3,False,True,False
13032018T070319,63656521399287,1,0,target6,9,0.85,3,False,True,False
13032018T070319,63656521399888,1,1,target3,9,0.85,3,False,True,False
13032018T070320,63656521400596,1,2,target2,9,0.85,3,False,True,False
13032018T070321,63656521401100,1,3,target0,9,0.85,3,False,True,False
13032018T070321,63656521401626,1,4,target1,9,0.85,3,False,True,False
13032018T070322,63656521402233,1,5,target5,9,0.85,3,False,True,False
13032018T070322,63656521402799,1,6,target7,9,0.85,3,False,True,False
13032018T070323,63656521403530,1,7,target4,9,0.85,3,False,True,False
13032018T070324,63656521404083,1,8,target8,9,0.85,3,False,True,False
13032018T070324,63656521404104,2,-1,-1,9,0.85,3,False,True,False
13032018T070324,63656521404669,2,0,target0,9,0.85,3,False,True,False
13032018T070325,63656521405266,2,1,target8,9,0.85,3,False,True,False
13032018T070326,63656521406140,2,2,target5,9,0.85,3,False,True,False
13032018T070326,63656521406749,2,3,target6,9,0.85,3,False,True,False
13032018T070327,63656521407325,2,4,target7,9,0.85,3,False,True,False
13032018T070327,63656521407981,2,5,target3,9,0.85,3,False,True,False
13032018T070328,63656521408539,2,6,target4,9,0.85,3,False,True,False
13032018T070329,63656521409544,2,7,target2,9,0.85,3,False,True,False
13032018T070330,63656521410025,2,8,target1,9,0.85,3,False,True,False
