Time,Millis,Round,Trial,TargetID,TargetTotal,Radius,Session,LinearUp,AlertTone,Blind,
26032018T190936,6.36577E+13,1,6,target7,9,0.85,2,FALSE,TRUE,FALSE,591
26032018T190936,6.36577E+13,1,7,target0,9,0.85,2,FALSE,TRUE,FALSE,594
26032018T190937,6.36577E+13,1,8,target2,9,0.85,2,FALSE,TRUE,FALSE,544
26032018T190937,6.36577E+13,2,-1,-1,9,0.85,2,FALSE,TRUE,FALSE,15
26032018T190938,6.36577E+13,2,0,target5,9,0.85,2,FALSE,TRUE,FALSE,745
26032018T190938,6.36577E+13,2,1,target0,9,0.85,2,FALSE,TRUE,FALSE,636
26032018T190939,6.36577E+13,2,2,target2,9,0.85,2,FALSE,TRUE,FALSE,603
26032018T190940,6.36577E+13,2,3,target3,9,0.85,2,FALSE,TRUE,FALSE,589
26032018T190941,6.36577E+13,2,4,target8,9,0.85,2,FALSE,TRUE,FALSE,703
26032018T190941,6.36577E+13,2,5,target6,9,0.85,2,FALSE,TRUE,FALSE,586
26032018T190942,6.36577E+13,2,6,target7,9,0.85,2,FALSE,TRUE,FALSE,547
26032018T190943,6.36577E+13,2,7,target4,9,0.85,2,FALSE,TRUE,FALSE,647
26032018T190943,6.36577E+13,2,8,target1,9,0.85,2,FALSE,TRUE,FALSE,517
26032018T190943,6.36577E+13,3,-1,-1,9,0.85,2,FALSE,TRUE,FALSE,13
26032018T190944,6.36577E+13,3,0,target7,9,0.85,2,FALSE,TRUE,FALSE,588
26032018T190944,6.36577E+13,3,1,target2,9,0.85,2,FALSE,TRUE,FALSE,626
26032018T190945,6.36577E+13,3,2,target6,9,0.85,2,FALSE,TRUE,FALSE,908
26032018T190946,6.36577E+13,3,3,target0,9,0.85,2,FALSE,TRUE,FALSE,625
26032018T190948,6.36577E+13,3,4,target3,9,0.85,2,FALSE,TRUE,FALSE,550
26032018T190948,6.36577E+13,3,5,target1,9,0.85,2,FALSE,TRUE,FALSE,580
26032018T190949,6.36577E+13,3,6,target8,9,0.85,2,FALSE,TRUE,FALSE,486
26032018T190950,6.36577E+13,3,7,target4,9,0.85,2,FALSE,TRUE,FALSE,504
26032018T190951,6.36577E+13,3,8,target5,9,0.85,2,FALSE,TRUE,FALSE,623
26032018T190952,6.36577E+13,4,-1,-1,9,0.85,2,FALSE,TRUE,FALSE,14
26032018T190952,6.36577E+13,4,0,target0,9,0.85,2,FALSE,TRUE,FALSE,1405
26032018T190953,6.36577E+13,4,1,target8,9,0.85,2,FALSE,TRUE,FALSE,1094
26032018T190954,6.36577E+13,4,2,target4,9,0.85,2,FALSE,TRUE,FALSE,1195
26032018T190955,6.36577E+13,4,3,target6,9,0.85,2,FALSE,TRUE,FALSE,662
26032018T190957,6.36577E+13,4,4,target3,9,0.85,2,FALSE,TRUE,FALSE,1162
26032018T190957,6.36577E+13,4,5,target1,9,0.85,2,FALSE,TRUE,FALSE,580
26032018T190958,6.36577E+13,4,6,target5,9,0.85,2,FALSE,TRUE,FALSE,602
26032018T191002,6.36577E+13,4,7,target2,9,0.85,2,FALSE,TRUE,FALSE,629
26032018T191003,6.36577E+13,4,8,target7,9,0.85,2,FALSE,TRUE,FALSE,530
26032018T191003,6.36577E+13,5,-1,-1,9,0.85,2,FALSE,TRUE,FALSE,15
26032018T191004,6.36577E+13,5,0,target4,9,0.85,2,FALSE,TRUE,FALSE,989
26032018T191004,6.36577E+13,5,1,target5,9,0.85,2,FALSE,TRUE,FALSE,587
26032018T191005,6.36577E+13,5,2,target2,9,0.85,2,FALSE,TRUE,FALSE,533
26032018T191006,6.36577E+13,5,3,target3,9,0.85,2,FALSE,TRUE,FALSE,956
26032018T191007,6.36577E+13,5,4,target6,9,0.85,2,FALSE,TRUE,FALSE,502
26032018T191008,6.36577E+13,5,5,target8,9,0.85,2,FALSE,TRUE,FALSE,719
26032018T191009,6.36577E+13,5,6,target7,9,0.85,2,FALSE,TRUE,FALSE,949
26032018T191009,6.36577E+13,5,7,target0,9,0.85,2,FALSE,TRUE,FALSE,690
26032018T191010,6.36577E+13,5,8,target1,9,0.85,2,FALSE,TRUE,FALSE,713
26032018T191010,6.36577E+13,1,-1,-1,9,0.85,3,FALSE,TRUE,TRUE,
26032018T191011,6.36577E+13,1,0,target3,9,0.85,3,FALSE,TRUE,TRUE,666
26032018T191021,6.36577E+13,1,1,target7,9,0.85,3,FALSE,TRUE,TRUE,10331
26032018T191026,6.36577E+13,1,2,target8,9,0.85,3,FALSE,TRUE,TRUE,4715
26032018T191035,6.36577E+13,1,3,target2,9,0.85,3,FALSE,TRUE,TRUE,8791
26032018T191041,6.36577E+13,1,4,target4,9,0.85,3,FALSE,TRUE,TRUE,6169
26032018T191052,6.36577E+13,1,5,target1,9,0.85,3,FALSE,TRUE,TRUE,11054
26032018T191112,6.36577E+13,1,6,target0,9,0.85,3,FALSE,TRUE,TRUE,20119
26032018T191118,6.36577E+13,1,7,target6,9,0.85,3,FALSE,TRUE,TRUE,6251
26032018T191131,6.36577E+13,1,8,target5,9,0.85,3,FALSE,TRUE,TRUE,13315
26032018T191131,6.36577E+13,2,-1,-1,9,0.85,3,FALSE,TRUE,TRUE,15
26032018T191135,6.36577E+13,2,0,target2,9,0.85,3,FALSE,TRUE,TRUE,3761
26032018T191142,6.36577E+13,2,1,target7,9,0.85,3,FALSE,TRUE,TRUE,6610
26032018T191149,6.36577E+13,2,2,target0,9,0.85,3,FALSE,TRUE,TRUE,7540
26032018T191156,6.36577E+13,2,3,target4,9,0.85,3,FALSE,TRUE,TRUE,7006
26032018T191206,6.36577E+13,2,4,target3,9,0.85,3,FALSE,TRUE,TRUE,9733
26032018T191217,6.36577E+13,2,5,target1,9,0.85,3,FALSE,TRUE,TRUE,11225
26032018T191224,6.36577E+13,2,6,target6,9,0.85,3,FALSE,TRUE,TRUE,7104
26032018T191229,6.36577E+13,2,7,target8,9,0.85,3,FALSE,TRUE,TRUE,4142
26032018T191236,6.36577E+13,2,8,target5,9,0.85,3,FALSE,TRUE,TRUE,7291
26032018T191236,6.36577E+13,3,-1,-1,9,0.85,3,FALSE,TRUE,TRUE,15
