Time,Millis,Round,Trial,TargetID,TargetTotal,Radius,Session,LinearUp,AlertTone,Blind
14032018T020437,63656589877076,5,1,target2,9,0.85,2,False,True,False
14032018T020439,63656589879287,5,2,target3,9,0.85,2,False,True,False
14032018T020440,63656589880738,5,3,target1,9,0.85,2,False,True,False
14032018T020442,63656589882048,5,4,target7,9,0.85,2,False,True,False
14032018T020443,63656589883364,5,5,target0,9,0.85,2,False,True,False
14032018T020444,63656589884684,5,6,target4,9,0.85,2,False,True,False
14032018T020445,63656589885766,5,7,target6,9,0.85,2,False,True,False
14032018T020446,63656589886551,5,8,target5,9,0.85,2,False,True,False
14032018T020446,63656589886566,1,-1,-1,9,0.85,3,False,False,True
14032018T020458,63656589898034,1,0,target8,9,0.85,3,False,False,True
14032018T020459,63656589899058,1,1,target1,9,0.85,3,False,False,True
14032018T020459,63656589899711,1,2,target2,9,0.85,3,False,False,True
14032018T020500,63656589900998,1,3,target6,9,0.85,3,False,False,True
14032018T020501,63656589901641,1,4,target5,9,0.85,3,False,False,True
14032018T020502,63656589902442,1,5,target7,9,0.85,3,False,False,True
14032018T020503,63656589903449,1,6,target3,9,0.85,3,False,False,True
14032018T020504,63656589904399,1,7,target0,9,0.85,3,False,False,True
14032018T020505,63656589905701,1,8,target4,9,0.85,3,False,False,True
14032018T020505,63656589905716,2,-1,-1,9,0.85,3,False,False,True
14032018T020506,63656589906620,2,0,target1,9,0.85,3,False,False,True
14032018T020507,63656589907401,2,1,target8,9,0.85,3,False,False,True
14032018T020508,63656589908022,2,2,target7,9,0.85,3,False,False,True
14032018T020509,63656589909132,2,3,target2,9,0.85,3,False,False,True
14032018T020510,63656589910204,2,4,target3,9,0.85,3,False,False,True
14032018T020510,63656589910911,2,5,target5,9,0.85,3,False,False,True
14032018T020511,63656589911847,2,6,target0,9,0.85,3,False,False,True
14032018T020513,63656589913179,2,7,target6,9,0.85,3,False,False,True
14032018T020514,63656589914014,2,8,target4,9,0.85,3,False,False,True
14032018T020514,63656589914028,3,-1,-1,9,0.85,3,False,False,True
14032018T020514,63656589914498,3,0,target4,9,0.85,3,False,False,True
14032018T020515,63656589915691,3,1,target8,9,0.85,3,False,False,True
14032018T020516,63656589916751,3,2,target2,9,0.85,3,False,False,True
14032018T020517,63656589917569,3,3,target0,9,0.85,3,False,False,True
14032018T020518,63656589918815,3,4,target3,9,0.85,3,False,False,True
14032018T020520,63656589920051,3,5,target6,9,0.85,3,False,False,True
14032018T020520,63656589920694,3,6,target7,9,0.85,3,False,False,True
14032018T020521,63656589921428,3,7,target5,9,0.85,3,False,False,True
14032018T020522,63656589922371,3,8,target1,9,0.85,3,False,False,True
14032018T020522,63656589922386,4,-1,-1,9,0.85,3,False,False,True
14032018T020522,63656589922994,4,0,target0,9,0.85,3,False,False,True
14032018T020524,63656589924372,4,1,target5,9,0.85,3,False,False,True
14032018T020525,63656589925241,4,2,target8,9,0.85,3,False,False,True
14032018T020525,63656589925990,4,3,target7,9,0.85,3,False,False,True
14032018T020527,63656589927006,4,4,target1,9,0.85,3,False,False,True
14032018T020528,63656589928031,4,5,target6,9,0.85,3,False,False,True
14032018T020528,63656589928858,4,6,target3,9,0.85,3,False,False,True
14032018T020529,63656589929631,4,7,target4,9,0.85,3,False,False,True
14032018T020531,63656589931316,4,8,target2,9,0.85,3,False,False,True
14032018T020531,63656589931329,5,-1,-1,9,0.85,3,False,False,True
14032018T020532,63656589932131,5,0,target5,9,0.85,3,False,False,True
14032018T020533,63656589933422,5,1,target1,9,0.85,3,False,False,True
14032018T020534,63656589934263,5,2,target4,9,0.85,3,False,False,True
14032018T020535,63656589935333,5,3,target7,9,0.85,3,False,False,True
14032018T020536,63656589936681,5,4,target3,9,0.85,3,False,False,True
14032018T020537,63656589937997,5,5,target0,9,0.85,3,False,False,True
14032018T020539,63656589939127,5,6,target6,9,0.85,3,False,False,True
14032018T020540,63656589940543,5,7,target2,9,0.85,3,False,False,True
